CaseTotalKPI,Classification,Country,Culture,ObjectName,ObjectNumber
Overall Collection,Snuff Bottles,,China,Snuff bottle,"50.145.189a, b"
Overall Collection,Ink,,China,Ink tablet,30.76.202
Overall Collection,Ink,,China,Ink tablet,30.76.276
Mid-Point,Jade,,China,Champion vase,"02.18.614a, b"
Overall Collection,Ceramics,,China,Dish,33.40.71
Overall Collection,Ceramics,,China,Pillow,60.73.2
Overall Collection,Furniture,,China,Armchair,"1976.193.1a, b"
Mid-Point,Jade,,China,Ornament,24.51.18
Mid-Point,Jade,,China,Earring or bonnet pendant,11.190.253
Mid-Point,Jade,,China,Tiger: emblem of the West,11.190.28
Overall Collection,Hardstone,,China,Flower holder,"65.86.80a, b"
Mid-Point,Jade,,North America (Alaska),Chisel,02.18.260
Mid-Point,Jade,,China,Armlet,02.18.718
Overall Collection,Textiles-Tapestries,,China,Scroll Cover,41.123.2
Overall Collection,Hardstone,,China,Water pot,02.18.875
Mid-Point,Jade,,China,Relief,"65.86.175a, b"
Mid-Point,Jade,,China,Relief,"65.86.82a, b"
Overall Collection,Tomb Pottery,,China,Figure,1994.605.66
Overall Collection,Ceramics,,China,Bowl,1987.247.4
Overall Collection,Woodblocks,,China,Figurine,1987.421.1.12
Mid-Point,Jade,,China,Figure,1976.297.2
Overall Collection,Sculpture,,Japan,Statue,26.118
Overall Collection,Paintings,,Japan,Hanging scroll,1975.268.59
Overall Collection,Lacquer,,Japan,Writing box,29.100.695a_e
Overall Collection,Lacquer,,Japan,Cabinet,10.7.2
Overall Collection,Prints,,Japan,Print,JP2453
Overall Collection,Screens,,Japan,Folding screen,57.156.3
Overall Collection,Costumes,,Japan,Kosode,1975.37
Overall Collection,Paintings,,China,Hanging scroll,1989.363.38
Overall Collection,Ceramics,,China,Vase,79.2.801
Overall Collection,Ceramics,,China,Figure,14.40.214
Overall Collection,Ceramics,,China,Covered bowl,"09.70.24a, b"
Overall Collection,Ceramics,,China,Jar,"91.1.426a, b"
Overall Collection,Ceramics,,Japan,Dish,23.225.113
Overall Collection,Ceramics,,Japan,Cup and cover,93.3.7
Overall Collection,Ceramics,,Japan,Fire bowl,93.1.197
Overall Collection,Ceramics,,China,Bowl,79.2.820
Overall Collection,Ceramics,,Japan,Cup,23.225.366
Overall Collection,Ceramics,,China,Covered box,"29.149.61a, b"
Overall Collection,Ceramics,,Japan,Jar,23.225.332
Overall Collection,Ceramics,,Japan,Hanging vase,91.1.217
Overall Collection,Ceramics,,China,Saucer,79.2.232
Overall Collection,Ceramics,,China,Bowl,29.100.233
Overall Collection,Ceramics,,China,Bowl,29.100.236
Overall Collection,Ceramics,,China,Plate,79.2.1303
Overall Collection,Ceramics,,China,Jar,23.15.4
Overall Collection,Ceramics,,China,Vase,29.100.253
Overall Collection,Ceramics,,China,Vase,14.40.317
Overall Collection,Ceramics,,China,Vase,29.100.174
